GeoCode,Province,City,tract,x,description,description2,y,amount2011
9330104.00,British Columbia,Vancouver,104,25.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1287
9330110.02,British Columbia,Vancouver,110.02,26.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1466
9330110.03,British Columbia,Vancouver,110.03,30.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1055
9330110.04,British Columbia,Vancouver,110.04,23.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1237
9330111.01,British Columbia,Vancouver,111.01,30,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1299
9330111.02,British Columbia,Vancouver,111.02,24.4,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1141
9330111.03,British Columbia,Vancouver,111.03,33.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1416
9330112.00,British Columbia,Vancouver,112,21.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1189
9330113.00,British Columbia,Vancouver,113,25.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1053
9330114.01,British Columbia,Vancouver,114.01,21.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1025
9330114.02,British Columbia,Vancouver,114.02,25.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1226
9330115.00,British Columbia,Vancouver,115,23.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1334
9330116.00,British Columbia,Vancouver,116,23.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1513
9330117.00,British Columbia,Vancouver,117,26.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1186
9330118.00,British Columbia,Vancouver,118,22.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1240
9330119.00,British Columbia,Vancouver,119,28.4,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1624
9330120.00,British Columbia,Vancouver,120,17.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,2021
9330121.00,British Columbia,Vancouver,121,22.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1475
9330122.00,British Columbia,Vancouver,122,32.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1447
9330130.01,British Columbia,Vancouver,130.01,35.5,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1537
9330130.03,British Columbia,Vancouver,130.03,34.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1311
9330130.04,British Columbia,Vancouver,130.04,33,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,0
9330131.00,British Columbia,Vancouver,131,28.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1427
9330132.00,British Columbia,Vancouver,132,33.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,2165
9330133.01,British Columbia,Vancouver,133.01,30.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1995
9330133.02,British Columbia,Vancouver,133.02,28,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,2061
9330134.00,British Columbia,Vancouver,134,27.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1993
9330135.00,British Columbia,Vancouver,135,31.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1818
9330140.02,British Columbia,Vancouver,140.02,23.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1196
9330140.03,British Columbia,Vancouver,140.03,24.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1108
9330140.04,British Columbia,Vancouver,140.04,24.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1300
9330141.01,British Columbia,Vancouver,141.01,23.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,997
9330141.02,British Columbia,Vancouver,141.02,35.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1463
9330142.01,British Columbia,Vancouver,142.01,20.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1260
9330142.02,British Columbia,Vancouver,142.02,21.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1142
9330142.03,British Columbia,Vancouver,142.03,23.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1197
9330143.01,British Columbia,Vancouver,143.01,21.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1164
9330143.02,British Columbia,Vancouver,143.02,21.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,740
9330143.03,British Columbia,Vancouver,143.03,27.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1026
9330143.04,British Columbia,Vancouver,143.04,20.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1594
9330144.03,British Columbia,Vancouver,144.03,35,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1354
9330144.04,British Columbia,Vancouver,144.04,23.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1077
9330144.05,British Columbia,Vancouver,144.05,25.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1285
9330144.06,British Columbia,Vancouver,144.06,26.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1147
9330145.01,British Columbia,Vancouver,145.01,27.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1221
9330145.02,British Columbia,Vancouver,145.02,19.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1127
9330146.00,British Columbia,Vancouver,146,26.7,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1114
9330147.01,British Columbia,Vancouver,147.01,23.4,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1344
9330147.04,British Columbia,Vancouver,147.04,22.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1089
9330147.05,British Columbia,Vancouver,147.05,20.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1162
9330147.07,British Columbia,Vancouver,147.07,25.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1160
9330147.08,British Columbia,Vancouver,147.08,17.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1043
9330147.09,British Columbia,Vancouver,147.09,18.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1020
9330147.10,British Columbia,Vancouver,147.1,24.7,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1136
9330148.00,British Columbia,Vancouver,148,23.7,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1130
9330149.02,British Columbia,Vancouver,149.02,26.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1272
9330149.05,British Columbia,Vancouver,149.05,19.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1361
9330149.06,British Columbia,Vancouver,149.06,19.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1440
9330149.07,British Columbia,Vancouver,149.07,23,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1568
9330149.08,British Columbia,Vancouver,149.08,26.5,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1070
9330149.09,British Columbia,Vancouver,149.09,22.4,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1070
9330150.00,British Columbia,Vancouver,150,37.5,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,0
9330151.03,British Columbia,Vancouver,151.03,32.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1351
9330151.05,British Columbia,Vancouver,151.05,34.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1050
9330151.06,British Columbia,Vancouver,151.06,24.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1197
9330151.07,British Columbia,Vancouver,151.07,30.4,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1299
9330151.08,British Columbia,Vancouver,151.08,27,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1268
9330160.01,British Columbia,Vancouver,160.01,23.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1501
9330160.02,British Columbia,Vancouver,160.02,25.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1052
9330160.03,British Columbia,Vancouver,160.03,25.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1034
9330160.04,British Columbia,Vancouver,160.04,28.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1018
9330161.01,British Columbia,Vancouver,161.01,35.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1076
9330161.02,British Columbia,Vancouver,161.02,26.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,839
9330161.03,British Columbia,Vancouver,161.03,24,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1056
9330161.05,British Columbia,Vancouver,161.05,24,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,953
9330161.06,British Columbia,Vancouver,161.06,21,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1205
9330162.01,British Columbia,Vancouver,162.01,19.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1024
9330162.02,British Columbia,Vancouver,162.02,25.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1055
9330162.03,British Columbia,Vancouver,162.03,31.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,787
9330162.04,British Columbia,Vancouver,162.04,21.4,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1186
9330163.01,British Columbia,Vancouver,163.01,28.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1230
9330163.04,British Columbia,Vancouver,163.04,22.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,982
9330163.05,British Columbia,Vancouver,163.05,34.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,906
9330163.06,British Columbia,Vancouver,163.06,22.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,854
9330163.07,British Columbia,Vancouver,163.07,21.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,996
9330163.08,British Columbia,Vancouver,163.08,23.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1129
9330170.03,British Columbia,Vancouver,170.03,27.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,955
9330170.04,British Columbia,Vancouver,170.04,31.2,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,999
9330170.05,British Columbia,Vancouver,170.05,34.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,888
9330170.07,British Columbia,Vancouver,170.07,34.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1217
9330170.08,British Columbia,Vancouver,170.08,31.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1213
9330180.01,British Columbia,Vancouver,180.01,29.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1478
9330180.02,British Columbia,Vancouver,180.02,26.4,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1364
9330181.03,British Columbia,Vancouver,181.03,30.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,881
9330181.05,British Columbia,Vancouver,181.05,32.7,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1519
9330181.06,British Columbia,Vancouver,181.06,31.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1051
9330181.07,British Columbia,Vancouver,181.07,29,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1558
9330181.08,British Columbia,Vancouver,181.08,29.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1640
9330181.09,British Columbia,Vancouver,181.09,21.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1373
9330181.10,British Columbia,Vancouver,181.1,20.6,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1005
9330181.11,British Columbia,Vancouver,181.11,31.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,995
9330181.12,British Columbia,Vancouver,181.12,20.5,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1062
9330181.13,British Columbia,Vancouver,181.13,24.7,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,768
9330181.14,British Columbia,Vancouver,181.14,30.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1107
9330182.01,British Columbia,Vancouver,182.01,38.5,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,712
9330182.02,British Columbia,Vancouver,182.02,36.9,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1280
9330182.03,British Columbia,Vancouver,182.03,31,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,891
9330182.04,British Columbia,Vancouver,182.04,25,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,517
9330182.05,British Columbia,Vancouver,182.05,33.3,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1000
9330182.06,British Columbia,Vancouver,182.06,35.1,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1462
9330183.01,British Columbia,Vancouver,183.01,29.8,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,1041
9330183.03,British Columbia,Vancouver,183.03,35,Shelter costs,  Average monthly shelter costs for rented dwellings ($),116,838
